Date,Type,Link
2022-11-21 11:34:04,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7000217528434077696
2022-11-21 11:04:24,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7000413384466685952
2022-11-20 18:05:22,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7000140733504450560
2022-11-20 17:48:45,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6998350409136263168?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6998350409136263168%2C6999365779196383232%29
2022-11-20 17:47:27,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6995087367036391424?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6995087367036391424%2C6999806612567670784%29
2022-11-20 17:31:43,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7000101888230612992
2022-11-20 16:49:08,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6999385319728906240?commentUrn=urn%3Ali%3Acomment%3A%28ugcPost%3A6999385319728906240%2C7000081843538522112%29
2022-11-20 14:12:50,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7000089390412664832
2022-11-19 14:03:52,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6999728080168620032
2022-11-19 11:42:35,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6999631494235181056
2022-11-18 22:09:06,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6999337511206461441
2022-11-18 21:23:02,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6999462779480903680
2022-11-18 21:22:59,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6999460180472025089
2022-11-18 07:24:14,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6999266471528804352
2022-11-17 22:40:12,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6998350409136263168?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6998350409136263168%2C6999051866009452545%29
2022-11-17 21:40:48,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6999058605094178818
2022-11-17 20:26:20,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6999047864991571976
2022-11-17 13:50:58,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6998984433303220224
2022-11-17 13:50:48,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6998930733905899520
2022-11-17 11:22:43,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6998888631885041664
2022-11-16 21:23:36,ENTERTAINMENT,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6998751637804650496?commentUrn=urn%3Ali%3Acomment%3A%28ugcPost%3A6998751637804650496%2C6998755795085524992%29
2022-11-16 21:13:16,ENTERTAINMENT,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6998751637804650496
2022-11-16 20:16:23,INTEREST,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6998726707352342531
2022-11-16 20:13:45,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6998350409136263168?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6998350409136263168%2C6998509007380328448%29
2022-11-16 20:13:30,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6998350409136263168?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6998350409136263168%2C6998356639867154433%29
2022-11-16 20:13:17,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6998350409136263168?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6998350409136263168%2C6998521485539573760%29
2022-11-16 20:12:47,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6998350409136263168?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6998350409136263168%2C6998435641818558464%29
2022-11-16 20:12:32,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6998350409136263168?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6998350409136263168%2C6998355807624941569%29
2022-11-16 20:12:10,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6998350409136263168?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6998350409136263168%2C6998352703089192961%29
2022-11-16 20:11:35,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6998350409136263168?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6998350409136263168%2C6998372882095456256%29
2022-11-16 20:11:19,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6998350409136263168?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6998350409136263168%2C6998507243465764864%29
2022-11-16 20:11:00,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6998350409136263168?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6998350409136263168%2C6998525475207712768%29
2022-11-16 20:10:50,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6998350409136263168?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6998350409136263168%2C6998352631601459200%29
2022-11-16 20:10:38,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6998350409136263168?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6998350409136263168%2C6998381076100313089%29
2022-11-16 20:08:08,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6998350409136263168?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6998350409136263168%2C6998368562927022081%29
2022-11-16 20:07:42,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6998350409136263168?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6998350409136263168%2C6998562550657245184%29
2022-11-16 20:07:13,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6998350409136263168?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6998350409136263168%2C6998517158720778240%29
2022-11-16 20:06:21,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6998350409136263168?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6998350409136263168%2C6998634744179552256%29
2022-11-15 23:55:04,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6998388384796708864
2022-11-15 10:12:14,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6998213924877729792
2022-11-14 21:29:13,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6997949792584626176?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6997949792584626176%2C6998012478303428608%29
2022-11-14 14:41:55,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6997903729534361600
2022-11-14 14:06:14,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6995486235582443520
2022-11-14 09:37:02,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6997851809503436800
2022-11-13 23:31:52,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6997698744389414912
2022-11-13 20:41:53,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6996267059152056322
2022-11-13 20:39:13,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6996566623557967872
2022-11-13 18:06:30,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6997620002585493504
2022-11-13 11:04:33,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6997276178952683520?commentUrn=urn%3Ali%3Acomment%3A%28ugcPost%3A6997276178952683520%2C6997396334454415360%29
